case,subject,condition,description,source_rigid_obj,target_mesh,fit_vertices,eval_full_no_eye_vertices,eval_eye_soft_vertices,fixed_eye_vertices,eye_fixed_max,eye_fixed_mean,displacement_mean,displacement_p90,displacement_max,full_median_before,full_median_local,full_median_after,full_p90_before,full_p90_after,nose_median_before,nose_median_local,nose_median_after,nose_p90_before,nose_p90_after,midface_median_before,midface_median_after,history_passes,eye_ellipse_count
001_1_neutral,001,proposed_S8,"Eye/orbit exclusion, nasal depth-contour staging, and nasal/midface weights.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_1_neutral/001_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30618,30618,7415,7415,0.0,0.0,0.0034304565615517393,0.006434270519014312,0.021293031796358594,0.007130473433010699,0.006719472616336972,0.005791058852465996,0.023279150647170017,0.017775201381267588,0.017012800642735436,0.00843878904179827,0.007599319560859955,0.03171997230006633,0.02486775834238754,0.009934540104365196,0.005340196709366474,16,2
001_1_neutral,001,no_eye_exclusion,Allows eyes-open source eye/orbit vertices to participate in fitting.,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_1_neutral/001_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,35709,30618,7415,0,0.0,0.0,0.009527070611369178,0.013923490267419535,0.024140586520747857,0.007130473433010699,0.00700006114184129,0.0058966296182688515,0.023279150647170017,0.014502292690000711,0.017012800642735436,0.0073453092420247,0.006450001328257024,0.03171997230006633,0.01355278340005519,0.009934540104365196,0.005021754129111582,16,2
001_1_neutral,001,no_nasal_depth_contours,"Keeps eye/orbit exclusion and local anatomical regions, but removes depth-ordered nasal contour staging.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_1_neutral/001_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30618,30618,7415,7415,0.0,0.0,0.0028118324343837557,0.00552267197474241,0.017907370456867373,0.007130473433010699,0.00707966822598528,0.006027286553056633,0.023279150647170017,0.018712881258892887,0.017012800642735436,0.010669799553848211,0.009085925162128906,0.03171997230006633,0.0257710864996466,0.009934540104365196,0.007104550763386678,8,2
001_1_neutral,001,no_region_weights,"Keeps eye/orbit exclusion and depth contours, but removes additional nasal/midface correspondence weights.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_1_neutral/001_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30618,30618,7415,7415,0.0,0.0,0.0034272290504183205,0.006465335599943518,0.020698247903840172,0.007130473433010699,0.0067277937301811995,0.005804382215712825,0.023279150647170017,0.017858664168608963,0.017012800642735436,0.008492192151791781,0.007817584701237685,0.03171997230006633,0.02536384442512869,0.009934540104365196,0.005424835567851874,16,2
001_10_dimpler,001,proposed_S8,"Eye/orbit exclusion, nasal depth-contour staging, and nasal/midface weights.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_10_dimpler/001_10_dimpler_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30911,30911,7125,7125,0.0,0.0,0.004239494613400469,0.007799574276811556,0.025824948547007096,0.007315518469878442,0.007226318462738178,0.006180936267019274,0.024664646158100677,0.02027498048921631,0.01820067004459462,0.009871148808884494,0.008653499572056375,0.034873191122610885,0.025401080094623434,0.010458395268157544,0.005511066404723465,16,2
001_10_dimpler,001,no_eye_exclusion,Allows eyes-open source eye/orbit vertices to participate in fitting.,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_10_dimpler/001_10_dimpler_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,35709,30911,7125,0,0.0,0.0,0.008277871647523222,0.010906047211423322,0.026793145102687745,0.007315518469878442,0.007589852072858362,0.006220105880723874,0.024664646158100677,0.020499166921035,0.01820067004459462,0.008335119974489253,0.007267977772446361,0.034873191122610885,0.016010739235732433,0.010458395268157544,0.00551768691253963,16,2
001_10_dimpler,001,no_nasal_depth_contours,"Keeps eye/orbit exclusion and local anatomical regions, but removes depth-ordered nasal contour staging.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_10_dimpler/001_10_dimpler_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30911,30911,7125,7125,0.0,0.0,0.002978633643485958,0.005589425117758838,0.01987027273855311,0.007315518469878442,0.007195998513865119,0.006231433456061771,0.024664646158100677,0.020487089340047917,0.01820067004459462,0.012923811182552774,0.011147944939766131,0.034873191122610885,0.026547993610280964,0.010458395268157544,0.007758790489395659,8,2
001_10_dimpler,001,no_region_weights,"Keeps eye/orbit exclusion and depth contours, but removes additional nasal/midface correspondence weights.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/001_10_dimpler/001_10_dimpler_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/001_18_eye_closed/mesh.ply,30911,30911,7125,7125,0.0,0.0,0.004229728242141149,0.007813985493652559,0.024735339462047392,0.007315518469878442,0.007233009523777672,0.006197734884134127,0.024664646158100677,0.020333036149267,0.01820067004459462,0.009979289418864263,0.009119932380976551,0.034873191122610885,0.02590956098264316,0.010458395268157544,0.005603538384114341,16,2
002_1_neutral,002,proposed_S8,"Eye/orbit exclusion, nasal depth-contour staging, and nasal/midface weights.",${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/002_1_neutral/002_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/002_18_eye_closed/mesh.ply,32200,32200,5319,5319,0.0,0.0,0.004175843074071279,0.006208308352119516,0.022876796886168664,0.010488785437093568,0.009296593257070683,0.007054193786583151,0.022328213333442207,0.016948147919313206,0.013362094105928032,0.00568863721906869,0.00487557230952175,0.026861193254441317,0.011081312648146175,0.008595977355887052,0.0033929208688464898,16,2
002_1_neutral,002,no_eye_exclusion,Allows eyes-open source eye/orbit vertices to participate in fitting.,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_allpairs_mergedpass_20260622/002_1_neutral/002_1_neutral_similarity_icp_regframe.obj,${PAPERFIT_ROOT}/prepared_001_020_cv/pairs/002_18_eye_closed/mesh.ply,35709,32200,5319,0,0.0,0.0,0.008582665292503676,0.012313285005444501,0.02440277073961399,0.010488785437093568,0.010102908158659041,0.007204236134591369,0.022328213333442207,0.01901095867844971,0.013362094105928032,0.004948338564317115,0.004368901550863375,0.026861193254441317,0.010425403120215213,0.008595977355887052,0.0035481910077307145,16,2
